Date,XAU,GDX,GLD
1/1/2010,1096.35,,
1/4/2010,1120,47.71,109.8
1/5/2010,1118.65,48.17,109.7
1/6/2010,1138.5,49.34,111.51
1/7/2010,1131.9,49.1,110.82
1/8/2010,1136.1,49.84,111.37
1/11/2010,1152.6,50.17,112.85
1/12/2010,1127.3,48.35,110.49
1/13/2010,1138.4,48.86,111.54
1/14/2010,1142.85,48.6,112.03
1/15/2010,1129.9,47.42,110.86
1/18/2010,1132.5,,
1/19/2010,1137.7,47.69,111.52
1/20/2010,1111.3,45.73,108.94
1/21/2010,1094.75,43.75,107.37
1/22/2010,1092.6,43.79,107.17
1/25/2010,1097.85,43.19,107.48
1/26/2010,1097.65,43.13,107.56
1/27/2010,1086.35,42.77,106.528
1/28/2010,1085.9,42.17,106.48
1/29/2010,1081.05,40.72,105.96
2/1/2010,1106.95,42.94,108.35
2/2/2010,1114.8,43,109.13
2/3/2010,1109.25,42.57,108.7
2/4/2010,1063.05,40.24,104.37
2/5/2010,1064.95,42.41,104.68
2/8/2010,1063.35,40.78,104.04
2/9/2010,1076.9,42.57,105.41
2/10/2010,1072.45,42.35,105.12
2/11/2010,1094.95,43.99,107.13
2/12/2010,1092.4,43.94,107.04
2/15/2010,1100.5,,
2/16/2010,1119.55,44.91,109.62
2/17/2010,1114.8,44.71,109.25
2/18/2010,1123.5,45.06,109.98
2/19/2010,1118.45,44.57,109.47
2/22/2010,1113.3,44.09,109.07
2/23/2010,1101.65,42.5,107.89
2/24/2010,1096,42.25,107.36
2/25/2010,1105.7,43.45,108.31
2/26/2010,1116.1,43.89,109.43
3/1/2010,1116.95,44.64,109.43
3/2/2010,1134.25,45.51,111.02
3/3/2010,1139.1,46.364,111.63
3/4/2010,1131.6,45.58,110.83
3/5/2010,1131.65,46.43,110.81
3/8/2010,1122,45.95,109.88
3/9/2010,1119.7,45.58,109.718
3/10/2010,1107.8,44.96,108.47
3/11/2010,1109.05,45.32,108.6
3/12/2010,1102.05,44.99,107.95
3/15/2010,1108.6,44.94,108.36
3/16/2010,1124.7,46.12,110.4
3/17/2010,1124.05,46.27,109.59
3/18/2010,1125.45,45.97,110.34
3/19/2010,1106.55,45.31,108.28
3/22/2010,1101.8,45.14,107.75
3/23/2010,1102.15,45.28,108.32
