Symbol,priceToSales,profitMargins,grossMargins,operatingCashflow,revenueGrowth,operatingMargins,grossProfits,freeCashflow,returnOnAssets,debtToEquity,returnOnEquity,totalRevenue,forwardEps,sharesOutstanding,bookValue,currentPrice,trailingEps,forwardPE,trailingPE,marketCap
A,6.7615657,0.18312,0.54352003,1312000000.0,0.114,0.23627001,3722000000,777750016.0,0.09531,52.354,0.23488002,6848000000.0,6.21,295000000.0,17.929,156.96,4.18,25.275364,37.550243,46303203328
AAL,0.20843983,-0.03557,0.19931,1131000064.0,0.501,0.00031,1934000000,265500000.0,0.00013,,,45210001408.0,1.5,649900992.0,-12.146,14.5,-3.671,9.666667,,9423564800
AAP,0.80231935,0.04304,0.44654,670419968.0,0.008,0.06612,4931356000,213340128.0,0.03815,150.469,0.16129999,11077951488.0,13.49,59253700.0,45.856,150.0,7.8,11.119348,19.230768,8888054784
AAPL,5.9750986,0.2531,0.43310001,122000000000.0,0.081,0.30289,171000000000,90215251968.0,0.21214001,261.446,1.75459,394000000000.0,6.81,15908100096.0,3.178,148.11,6.11,21.7489,24.24059,2360000000000
ABBV,4.882214,0.23188,0.69832003,22589999104.0,0.033,0.36514,38883000000,19950499840.0,0.09094,436.757,0.90650004,57819000832.0,11.55,1768480000.0,9.044,159.62,7.5,13.819913,21.282665,282000000000
ABC,0.1422934,0.00712,0.034930002,2703088128.0,0.038,0.0117,8334565000,3326865664.0,0.030639999,9435.978,5.08336,239000000000.0,12.62,202440992.0,-1.026,167.7,8.04,13.288431,20.85821,33949353984
ABMD,15.872026,0.24836001,0.81324995,250983008.0,0.072,0.22961001,843595000,202012000.0,0.09554,0.455,0.18244,1074096000.0,5.58,45091200.0,34.087,378.08,5.83,67.75627,64.85077,17048080384
ABT,4.1415114,0.17518999,0.58163,10321999872.0,-0.047,0.22974001,25009000000,7563250176.0,0.08821,46.204,0.22373,45029998592.0,4.38,1743570048.0,20.461,106.96,4.43,24.42009,24.14447,186000000000
ACGL,2.4528978,0.14008,0.27973,3633721088.0,0.136,0.13155,3361999000,1392649472.0,0.01598,23.087,0.09867,8855909376.0,5.5,369872992.0,29.857,58.73,3.16,10.678182,18.585442,21722640384
ACN,3.0344737,0.11165,0.31986,9541129216.0,0.149,0.15208,19701539000,7736192000.0,0.12946999,14.62,0.32625,61594304512.0,12.6,630080000.0,35.024,296.4,10.71,23.523808,27.67507,187000000000
ADBE,9.040548,0.27997,0.87761,7578999808.0,0.127,0.35449,13920000000,5941749760.0,0.14403,32.29,0.33438998,17191000064.0,15.21,464900000.0,30.777,334.3,10.1,21.97896,33.099007,155000000000
ADI,7.0832863,0.22878,0.64957,4475402240.0,0.388,0.31802,7803870000,4305268224.0,0.04654,19.03,0.07383,12013953024.0,10.64,509296000.0,71.599,167.09,5.25,15.703946,31.826666,85098266624
ADM,0.5420602,0.04157,0.07556,4089999872.0,0.214,0.04302,5987000000,1285874944.0,0.047989998,40.059,0.17785,98706997248.0,6.66,549334016.0,43.71,97.4,7.25,14.624625,13.434483,53505134592
ADP,6.4859877,0.17933,0.45409,3695699968.0,0.1,0.23591,7447100000,6620100096.0,0.04681,139.499,0.76379997,16881600512.0,9.02,414828000.0,6.205,263.95,7.22,29.262749,36.558174,109000000000
ADSK,8.842534,0.12637,0.9163,1882300032.0,0.137,0.19997999,4021400000,1634375040.0,0.071329996,334.989,0.56636,4898400256.0,7.38,215859008.0,4.194,200.66,2.59,27.189701,77.47491,43314270208
AEE,3.2043736,0.14458999,0.45024,2068000000.0,0.285,0.22442,2991000000,-1442625024.0,0.02779,144.753,0.10335,7165000192.0,4.37,258522000.0,39.462,88.81,3.99,20.322655,22.258144,22959337472
AEP,2.6067545,0.13081001,0.44401002,5600099840.0,0.195,0.21047,7656200000,-4094687488.0,0.027880002,156.591,0.10463,18819799040.0,5.3,513864000.0,47.255,95.47,4.82,18.013206,19.807053,49058594816
AES,1.5502596,-0.02231,0.20638001,2172000000.0,0.195,0.19299,2711000000,-1942499968.0,0.04085,406.611,-0.15045999,12327000064.0,1.75,667950016.0,3.849,28.61,-0.223,16.348572,,19110049792
AFL,2.1540377,0.24154,0.42594,3716000000.0,-0.08,0.26472,9104000000,666000000.0,0.02399,44.837,0.1752,20928000000.0,5.45,621788992.0,38.713,72.5,7.82,13.3027525,9.271099,45079703552
AIG,0.7642766,0.23158,0.45299998,4533000192.0,0.146,0.31308,19531000000,3150249984.0,0.02079,74.222,0.28494,59377999872.0,6.35,742979968.0,51.575,61.08,16.86,9.618898,3.6227758,45381218304
AIZ,0.6711063,0.03361,0.07714,574499968.0,-0.034,0.052789997,1161700000,1497162496.0,0.009980001,51.948,0.06971,10115099648.0,12.74,52831400.0,77.496,128.49,6.11,10.085558,21.02946,6788306944
AJG,5.094795,0.13193,0.42671,2418800128.0,-0.05,0.20887,2942300000,1176824960.0,0.03283,75.9,0.12882,8247300096.0,8.71,210840000.0,40.665,199.29,5.06,22.880596,39.385376,42018304000
AKAM,4.047603,0.14117,0.62499,1320077952.0,0.025,0.20992,2192267000,853989504.0,0.058130004,74.491,0.115109995,3594233088.0,5.6,157242000.0,26.813,92.52,3.14,16.52143,29.464966,14548029440
ALB,5.714249,0.27775,0.41493,809273024.0,1.519,0.32889998,1008471000,-498904736.0,0.09325,50.286,0.25876,5593330176.0,27.82,117153000.0,57.472,272.82,13.19,9.806614,20.683853,31961681920
ALGN,3.9351137,0.13218,0.71441,696873984.0,-0.124,0.1943,2935355000,196430256.0,0.08116999,3.271,0.14165,3864218880.0,7.89,78112400.0,47.3,194.67,6.42,24.673004,30.32243,15206140928
ALK,0.6561551,0.00596,0.24277,1538000000.0,0.448,0.075229995,939000000,700124992.0,0.03,103.372,0.014680001,9066000384.0,4.96,126838000.0,30.165,46.9,0.41,9.455646,114.39025,5948702208
ALL,0.70731723,-0.00413,0.15984,5022000128.0,0.058,0.00717,13969000000,12653124608.0,0.00197,45.373,0.0023,50775998464.0,9.09,265210000.0,59.034,135.42,3.21,14.897689,42.186916,35914739712
ALLE,3.219136,0.1396,0.40383,399300000.0,0.274,0.18711,1204900000,241637504.0,0.10335,293.548,0.52444,3119600128.0,6.04,87844800.0,9.008,114.32,4.91,18.927153,23.283096,10042417152
AMAT,3.5306535,0.25305,0.46511,5399000064.0,0.102,0.30188,11993000000,3204499968.0,0.18515,44.752,0.53394,25784999936.0,6.79,860308992.0,14.279,105.82,7.44,15.584683,14.223118,91037900800
AMCR,1.2367549,0.05535,0.19389,1526000000.0,0.132,0.10155,2820000000,972750016.0,0.053340003,172.736,0.18188,14544000000.0,0.83,1489020032.0,2.745,12.08,0.55,14.554217,21.963636,17987362816
AMD,5.3071985,0.09957,0.5095,3820000000.0,0.29,0.13085,7929000000,4550750208.0,0.047280002,5.299,0.073699996,22827999232.0,3.65,1612359936.0,33.835,75.14,1.6,20.5863,46.962498,121000000000
AME,5.431067,0.18812999,0.3491,1046254976.0,0.077,0.2433,1912614000,780356864.0,0.0773,35.389,0.16568,6028608000.0,5.97,229654000.0,31.058,142.57,4.89,23.881075,29.155422,32741773312
AMGN,5.7500076,0.25959,0.7578,9880000512.0,-0.008,0.38819,19525000000,9330374656.0,0.09928001,1059.513,1.15164,26329999360.0,18.56,533579008.0,6.847,283.74,12.46,15.287715,22.77207,151000000000
AMP,2.450407,0.1916,0.55022,4741000192.0,0.206,0.29579002,7588000000,1055249984.0,0.01647,110.777,0.61714,14435999744.0,28.86,106417000.0,30.527,332.41,24.02,11.518018,13.838884,35374075904
AMT,9.804577,0.27776,0.69435996,3190099968.0,0.088,0.30293,6674900000,3987062528.0,0.03115,378.791,0.25942,10451300352.0,4.64,465606016.0,13.492,220.08,6.29,47.431038,34.988873,102000000000
AMZN,1.8975667,0.022550002,0.43043998,39665000448.0,0.147,0.025829999,197000000000,-12691999744.0,0.02,119.525,0.08776,502000000000.0,1.68,10201700352.0,13.482,93.41,1.09,55.601196,85.69725,953000000000
ANET,10.614947,0.29633,0.61824,677576000.0,0.572,0.33687,1880779000,476043360.0,0.14267999,1.763,0.28232,3930216960.0,5.42,307300000.0,14.354,135.76,2.91,25.04797,46.652916,41719046144
